Recipient,Category,Grant,FY14
Scotland,Property Tax,Grants For Municipal Projects,7224
Scotland,Capital Projects/Transportation,LoCIP,21492
Scotland,Capital Projects/Transportation,Town Aid Road,154059.45
Salisbury,Education,Child Nutrition State Match,989
Salisbury,Education,Education Cost Sharing,187266
Salisbury,Education,Public School Transportation,1452
Salisbury,Public Health/Social Services,Healthy Foods Initiative,2025
Salisbury,Property Tax,Elderly Circuit Breaker,12678.63
Salisbury,Property Tax,State Property PILOT,7524.07
Salisbury,Property Tax,Veterans' Exemption,1272.73
Salisbury,Property Tax,Disability Exemption,91.63
Salisbury,Property Tax,Pequot Grants,7396.92
Salisbury,Property Tax,Grants For Municipal Projects,78
Salisbury,Capital Projects/Transportation,LoCIP,44020
Salisbury,Capital Projects/Transportation,Town Aid Road,291850.35
Salem,Education,Child Nutrition State Match,1172
Salem,Education,School Construction,1406845
Salem,Education,Magnet Schools,4500
Salem,Education,Excess Cost- Student Based,294905
Salem,Education,Education Cost Sharing,3109562
Salem,Education,Public School Transportation,39289
Salem,Education,Adult Education,3669
Salem,Public Health/Social Services,Healthy Foods Initiative,2399
Salem,Property Tax,Elderly Circuit Breaker,14511.17
Salem,Property Tax,State Property PILOT,58794.06
Salem,Property Tax,Veterans' Exemption,3624.6
Salem,Property Tax,Disability Exemption,212.16
Salem,Property Tax,Pequot Grants,19050.8
Salem,Property Tax,Grants For Municipal Projects,4419
Salem,Capital Projects/Transportation,LoCIP,33947
Salem,Capital Projects/Transportation,Town Aid Road,193326.67
Rocky Hill,Education,Child Nutrition State Match,7595
Rocky Hill,Education,OPEN Choice,35585
Rocky Hill,Education,School Breakfast,3142
Rocky Hill,Education,Magnet Schools,88071
Rocky Hill,Education,Excess Cost- Student Based,407783
Rocky Hill,Education,Education Cost Sharing,3526702
Rocky Hill,Education,Public School Transportation,65743
Rocky Hill,Education,Youth Service Bureaus,23036
Rocky Hill,Education,Adult Education,11822
Rocky Hill,Public Health/Social Services,Healthy Foods Initiative,15546
Rocky Hill,Capital Projects/Transportation,Small Town Economic Assistance Program (STEAP),444000
Rocky Hill,Capital Projects/Transportation,LoCIP,115106
Rocky Hill,Capital Projects/Transportation,Town Aid Road,341638.34
Rocky Hill,Capital Projects/Transportation,Urban Action Grants,0
Rocky Hill,Property Tax,Elderly Circuit Breaker,113260.06
Rocky Hill,Property Tax,State Property PILOT,711846.13
Rocky Hill,Property Tax,Veterans' Exemption,9969.24
Rocky Hill,Property Tax,Disability Exemption,1078.07
Rocky Hill,Property Tax,Pequot Grants,280252.66
Rocky Hill,Property Tax,Grants For Municipal Projects,208037
Ridgefield,Education,Child Nutrition State Match,11440
Ridgefield,Education,School Construction,22115
Ridgefield,Education,Magnet Schools,6500
Ridgefield,Education,Excess Cost- Student Based,2257243
Ridgefield,Education,Education Cost Sharing,2066320
Ridgefield,Education,Public School Transportation,995
Ridgefield,Education,Youth Service Bureaus,20171
Ridgefield,Education,Adult Education,612
Ridgefield,Capital Projects/Transportation,Small Town Economic Assistance Program (STEAP),500000
Ridgefield,Capital Projects/Transportation,LoCIP,153701
Ridgefield,Capital Projects/Transportation,Town Aid Road,378461.76
Ridgefield,Capital Projects/Transportation,Urban Action Grants,0
Ridgefield,Property Tax,Elderly Circuit Breaker,58654.01
Ridgefield,Property Tax,State Property PILOT,163023.37
Ridgefield,Property Tax,Veterans' Exemption,4294.96
Ridgefield,Property Tax,Disability Exemption,961.54
Ridgefield,Property Tax,Pequot Grants,14277.69
Ridgefield,Property Tax,Grants For Municipal Projects,528547
Ridgefield,Public Health/Social Services,Nonpublic Health Services/ Health and Welfare Services for Private School Pupils,9166
Preston,Education,Child Nutrition State Match,1441
Preston,Education,School Breakfast,6025
Preston,Education,Magnet Schools,15600
Preston,Education,Excess Cost- Student Based,410633
Preston,Education,Education Cost Sharing,3085953
Preston,Education,Public School Transportation,89477
Preston,Education,Youth Service Bureaus,17259
Preston,Education,Adult Education,20592
Preston,Public Health/Social Services,Healthy Foods Initiative,2949
Preston,Property Tax,Elderly Circuit Breaker,23532.54
Preston,Property Tax,State Property PILOT,11014.97
Preston,Property Tax,Veterans' Exemption,861.05
Preston,Property Tax,Disability Exemption,354.98
Preston,Property Tax,Pequot Grants,1173411.71
Preston,Property Tax,Grants For Municipal Projects,0
Preston,Capital Projects/Transportation,LoCIP,44833
Preston,Capital Projects/Transportation,Town Aid Road,199697.35
Preston,Capital Projects/Transportation,Urban Action Grants,5000000
Pomfret,Education,Child Nutrition State Match,1671
Pomfret,Education,School Breakfast,3031
Pomfret,Education,Excess Cost- Student Based,562831
Pomfret,Education,Education Cost Sharing,3159778
Pomfret,Education,Public School Transportation,46953
Pomfret,Education,Adult Education,6159
Pomfret,Public Health/Social Services,Healthy Foods Initiative,3420
Pomfret,Property Tax,Elderly Circuit Breaker,20262.94
Pomfret,Property Tax,State Property PILOT,43176.07
Pomfret,Property Tax,Veterans' Exemption,5481.59
Pomfret,Property Tax,Disability Exemption,419.21
Pomfret,Property Tax,Pequot Grants,20304.27
Pomfret,Property Tax,Grants For Municipal Projects,27135.33
Pomfret,Capital Projects/Transportation,LoCIP,47325
Pomfret,Capital Projects/Transportation,Town Aid Road,242649.54
Plymouth,Education,Child Nutrition State Match,6212
Plymouth,Education,School Breakfast,3036
Plymouth,Education,Magnet Schools,206700
Plymouth,Education,Excess Cost- Student Based,422146
Plymouth,Education,Education Cost Sharing,9811970
Plymouth,Education,Public School Transportation,198977
Plymouth,Education,Adult Education,11830
Plymouth,Public Health/Social Services,Healthy Foods Initiative,12714
Plymouth,Capital Projects/Transportation,Small Town Economic Assistance Program (STEAP),500000
Plymouth,Capital Projects/Transportation,LoCIP,96857
Plymouth,Capital Projects/Transportation,Town Aid Road,263163.95
Plymouth,Capital Projects/Transportation,Urban Action Grants,0
Plymouth,Capital Projects/Transportation,Bus Operations,14465.25
Plymouth,Property Tax,Elderly Circuit Breaker,89378.33
Plymouth,Property Tax,State Property PILOT,11696.51
Plymouth,Property Tax,Veterans' Exemption,10186.84
Plymouth,Property Tax,Disability Exemption,2686.1
Plymouth,Property Tax,Elderly Freeze,2000
Plymouth,Property Tax,Grants For Municipal Projects,143364
Oxford,Education,Child Nutrition State Match,6438
Oxford,Education,School Construction,2828
Oxford,Education,Excess Cost- Student Based,467203
Oxford,Education,Education Cost Sharing,4670394
Oxford,Education,Public School Transportation,36522
Oxford,Education,Adult Education,946
Oxford,Public Health/Social Services,Healthy Foods Initiative,13178
Oxford,Capital Projects/Transportation,Small Town Economic Assistance Program (STEAP),500000
Oxford,Capital Projects/Transportation,LoCIP,96161
Oxford,Capital Projects/Transportation,Town Aid Road,272785.92
Oxford,Capital Projects/Transportation,Bus Operations,25611
Oxford,Property Tax,Elderly Circuit Breaker,41251.79
Oxford,Property Tax,State Property PILOT,228601.39
Oxford,Property Tax,Veterans' Exemption,6814.94
Oxford,Property Tax,Disability Exemption,1155.74
Oxford,Property Tax,Pequot Grants,32441.97
Oxford,Property Tax,Grants For Municipal Projects,79296
Orange,Education,Child Nutrition State Match,4107
Orange,Education,OPEN Choice,42712
Orange,Education,Excess Cost- Student Based,367240
Orange,Education,Education Cost Sharing,1160577
Orange,Education,Public School Transportation,22196
Orange,Education,Nonpublic School Transportation,120
Orange,Education,Youth Service Bureaus,23084
Orange,Public Health/Social Services,Healthy Foods Initiative,8406
Orange,Public Health/Social Services,Nonpublic Health Services/ Health and Welfare Services for Private School Pupils,4865
Orange,Property Tax,Colleges &amp; Hospitals PILOT,191723.95
Orange,Property Tax,Elderly Circuit Breaker,81206.43
Orange,Property Tax,State Property PILOT,14826.7
Orange,Property Tax,Veterans' Exemption,14676.74
Orange,Property Tax,Disability Exemption,698.68
Orange,Property Tax,Pequot Grants,42710.58
Orange,Property Tax,Grants For Municipal Projects,98717
Orange,Capital Projects/Transportation,LoCIP,101148
Orange,Capital Projects/Transportation,Town Aid Road,275453.81
Old Saybrook,Education,Child Nutrition State Match,5051
Old Saybrook,Education,School Breakfast,6979
Old Saybrook,Education,Excess Cost- Student Based,360025
Old Saybrook,Education,Education Cost Sharing,709390
Old Saybrook,Education,Public School Transportation,6037
Old Saybrook,Education,Nonpublic School Transportation,461
Old Saybrook,Education,Youth Service Bureaus,43362
Old Saybrook,Education,Adult Education,5384
Old Saybrook,Public Health/Social Services,Healthy Foods Initiative,9184
Old Saybrook,Public Health/Social Services,Nonpublic Health Services/ Health and Welfare Services for Private School Pupils,5737
Old Saybrook,Capital Projects/Transportation,Small Town Economic Assistance Program (STEAP),500000
Old Saybrook,Capital Projects/Transportation,LoCIP,68294
Old Saybrook,Capital Projects/Transportation,Town Aid Road,248577.74
Old Saybrook,Property Tax,Elderly Circuit Breaker,70451.79
Old Saybrook,Property Tax,State Property PILOT,55470.96
Old Saybrook,Property Tax,Veterans' Exemption,9610.16
Old Saybrook,Property Tax,Disability Exemption,348.2
Old Saybrook,Property Tax,Pequot Grants,15544.61
Old Saybrook,Property Tax,Grants For Municipal Projects,43937
North Stonington,Education,Child Nutrition State Match,2522
North Stonington,Education,School Construction,5965.82
North Stonington,Education,School Breakfast,3055
North Stonington,Education,Magnet Schools,18200
North Stonington,Education,Excess Cost- Student Based,9233
North Stonington,Education,Education Cost Sharing,2906538
North Stonington,Education,Public School Transportation,43657
North Stonington,Education,Adult Education,6316
North Stonington,Public Health/Social Services,Healthy Foods Initiative,5162
North Stonington,Public Health/Social Services,Nonpublic Health Services/ Health and Welfare Services for Private School Pupils,3816
North Stonington,Capital Projects/Transportation,Small Town Economic Assistance Program (STEAP),245400
North Stonington,Capital Projects/Transportation,LoCIP,48378
North Stonington,Capital Projects/Transportation,Town Aid Road,239543.25
North Stonington,Capital Projects/Transportation,Urban Action Grants,0
North Stonington,Property Tax,Elderly Circuit Breaker,38720.02
North Stonington,Property Tax,State Property PILOT,20445.4
North Stonington,Property Tax,Veterans' Exemption,7832.21
North Stonington,Property Tax,Disability Exemption,473.66
North Stonington,Property Tax,Pequot Grants,885205.84
North Stonington,Property Tax,Grants For Municipal Projects,0
North Haven,Education,Child Nutrition State Match,9049
North Haven,Education,School Construction,225447.34
North Haven,Education,OPEN Choice,160338
North Haven,Education,School Breakfast,9111
North Haven,Education,Magnet Schools,13824
North Haven,Education,Excess Cost- Student Based,1397761
North Haven,Education,Education Cost Sharing,3403195
North Haven,Education,Public School Transportation,75065
North Haven,Education,Youth Service Bureaus,23570
North Haven,Education,Adult Education,11027
North Haven,Education,Child Care Services,126423.51
North Haven,Public Health/Social Services,Healthy Foods Initiative,18521
North Haven,Capital Projects/Transportation,Small Town Economic Assistance Program (STEAP),470267
North Haven,Capital Projects/Transportation,LoCIP,155081
North Haven,Capital Projects/Transportation,Town Aid Road,360908.36
North Haven,Capital Projects/Transportation,Urban Action Grants,0
North Haven,Property Tax,Colleges &amp; Hospitals PILOT,331748.56
North Haven,Property Tax,Elderly Circuit Breaker,214469.36
North Haven,Property Tax,State Property PILOT,104822.78
North Haven,Property Tax,Veterans' Exemption,31996.18
North Haven,Property Tax,Disability Exemption,3378
North Haven,Property Tax,Pequot Grants,157486.81
North Haven,Property Tax,Grants For Municipal Projects,1359707
North Canaan,Education,Child Nutrition State Match,1567
North Canaan,Education,School Breakfast,3208
North Canaan,Education,Excess Cost- Student Based,15163
North Canaan,Education,Education Cost Sharing,2088113
North Canaan,Education,Public School Transportation,31835
North Canaan,Public Health/Social Services,Healthy Foods Initiative,3206
North Canaan,Property Tax,Elderly Circuit Breaker,28853.98
North Canaan,Property Tax,State Property PILOT,21777.49
North Canaan,Property Tax,Veterans' Exemption,585.12
North Canaan,Property Tax,Disability Exemption,314.54
North Canaan,Property Tax,Pequot Grants,27006.66
North Canaan,Property Tax,Grants For Municipal Projects,338315
North Canaan,Capital Projects/Transportation,LoCIP,29814
North Canaan,Capital Projects/Transportation,Town Aid Road,188722.78
Norfolk,Education,Child Nutrition State Match,504
Norfolk,Education,Excess Cost- Student Based,30668
Norfolk,Education,Education Cost Sharing,381414
Norfolk,Education,Public School Transportation,2510
Norfolk,Education,Adult Education,281
Norfolk,Public Health/Social Services,Healthy Foods Initiative,1032
Norfolk,Property Tax,Colleges &amp; Hospitals PILOT,44163.45
Norfolk,Property Tax,Elderly Circuit Breaker,8266.53
Norfolk,Property Tax,State Property PILOT,83742.09
Norfolk,Property Tax,Veterans' Exemption,773.28
Norfolk,Property Tax,Disability Exemption,249.41
Norfolk,Property Tax,Pequot Grants,11993
Norfolk,Property Tax,Grants For Municipal Projects,6778
Norfolk,Capital Projects/Transportation,LoCIP,32030
Norfolk,Capital Projects/Transportation,Town Aid Road,250822.3
Newtown,Education,Child Nutrition State Match,12011
Newtown,Education,School Construction,898576.06
Newtown,Education,School Breakfast,3101
Newtown,Education,Magnet Schools,67600
Newtown,Education,Excess Cost- Student Based,1699628
Newtown,Education,Education Cost Sharing,4436925
Newtown,Education,Public School Transportation,85470
Newtown,Education,Nonpublic School Transportation,20917
Newtown,Education,Adult Education,4187
Newtown,Education,Child Care Services,119837.33
Newtown,Capital Projects/Transportation,Small Town Economic Assistance Program (STEAP),500000
Newtown,Capital Projects/Transportation,LoCIP,208506
Newtown,Capital Projects/Transportation,Town Aid Road,470722.7
Newtown,Capital Projects/Transportation,Urban Action Grants,0
Newtown,Property Tax,Elderly Circuit Breaker,156866.11
Newtown,Property Tax,State Property PILOT,812504.35
Newtown,Property Tax,Veterans' Exemption,17306.62
Newtown,Property Tax,Disability Exemption,2143.07
Newtown,Property Tax,Pequot Grants,797498.01
Newtown,Property Tax,Grants For Municipal Projects,221366
Newtown,Property Tax,Municipal Aid Adjustment,8.48
Newtown,Public Health/Social Services,Nonpublic Health Services/ Health and Welfare Services for Private School Pupils,23143
Newington,Education,Child Nutrition State Match,17367
Newington,Education,School Construction,74678
Newington,Education,OPEN Choice,404442
Newington,Education,Excess Cost- Student Based,711491
Newington,Education,Education Cost Sharing,12914680
Newington,Education,Public School Transportation,240913
Newington,Education,Nonpublic School Transportation,4549
Newington,Education,Youth Service Bureaus,30484
Newington,Education,Adult Education,35317
Newington,Public Health/Social Services,Healthy Foods Initiative,35546
Newington,Public Health/Social Services,Nonpublic Health Services/ Health and Welfare Services for Private School Pupils,17515
Newington,Property Tax,Colleges &amp; Hospitals PILOT,1753756.9
Newington,Property Tax,Elderly Circuit Breaker,273333.15
Newington,Property Tax,State Property PILOT,688546.11
Newington,Property Tax,Veterans' Exemption,28376.1
Newington,Property Tax,Disability Exemption,5284.69
Newington,Property Tax,Pequot Grants,275048.54
Newington,Property Tax,Elderly Freeze,6000
Newington,Property Tax,Grants For Municipal Projects,863254
Newington,Capital Projects/Transportation,LoCIP,212179
Newington,Capital Projects/Transportation,Town Aid Road,415969.23
Newington,Capital Projects/Transportation,Urban Action Grants,0
New Milford,Education,Child Nutrition State Match,19377
New Milford,Education,School Construction,1270302.91
New Milford,Education,School Breakfast,9159
New Milford,Education,Magnet Schools,22100
New Milford,Education,Bilingual Education,2600
New Milford,Education,Excess Cost- Student Based,1234239
New Milford,Education,Education Cost Sharing,12035509
New Milford,Education,Public School Transportation,189984
New Milford,Education,Nonpublic School Transportation,7782
New Milford,Education,Youth Service Bureaus,27808
New Milford,Education,Adult Education,24023
New Milford,Education,Child Care Services,163164.77
New Milford,Public Health/Social Services,Healthy Foods Initiative,39660
New Milford,Public Health/Social Services,Nonpublic Health Services/ Health and Welfare Services for Private School Pupils,4365
New Milford,Capital Projects/Transportation,Small Town Economic Assistance Program (STEAP),448334
New Milford,Capital Projects/Transportation,LoCIP,196090
New Milford,Capital Projects/Transportation,Town Aid Road,559689.94
New Milford,Capital Projects/Transportation,Urban Action Grants,2500000
New Milford,Property Tax,Colleges &amp; Hospitals PILOT,216041.38
New Milford,Property Tax,Elderly Circuit Breaker,133962.55
New Milford,Property Tax,State Property PILOT,33027.18
New Milford,Property Tax,Veterans' Exemption,11615.89
New Milford,Property Tax,Disability Exemption,2436.98
New Milford,Property Tax,Pequot Grants,85724.02
New Milford,Property Tax,Grants For Municipal Projects,634087
New Milford,Property Tax,Municipal Aid Adjustment,555.43
New Hartford,Education,Child Nutrition State Match,1812
New Hartford,Education,Magnet Schools,4000
New Hartford,Education,Excess Cost- Student Based,68831
New Hartford,Education,Education Cost Sharing,3177567
New Hartford,Education,Public School Transportation,31372
New Hartford,Education,Adult Education,2316
New Hartford,Public Health/Social Services,Healthy Foods Initiative,3709
New Hartford,Property Tax,Elderly Circuit Breaker,34898.08
New Hartford,Property Tax,State Property PILOT,18163.57
New Hartford,Property Tax,Veterans' Exemption,3148.75
New Hartford,Property Tax,Disability Exemption,483.62
New Hartford,Property Tax,Pequot Grants,20324.29
New Hartford,Property Tax,Grants For Municipal Projects,137729.66
New Hartford,Capital Projects/Transportation,LoCIP,63021
New Hartford,Capital Projects/Transportation,Town Aid Road,269962.54
New Fairfield,Education,Child Nutrition State Match,7509
New Fairfield,Education,School Construction,301936.71
New Fairfield,Education,School Breakfast,3089
New Fairfield,Education,Magnet Schools,23400
New Fairfield,Education,Excess Cost- Student Based,205089
New Fairfield,Education,Education Cost Sharing,4424606
New Fairfield,Education,Public School Transportation,46436
New Fairfield,Education,Adult Education,4132
New Fairfield,Public Health/Social Services,Healthy Foods Initiative,15370
New Fairfield,Property Tax,Elderly Circuit Breaker,84158.52
New Fairfield,Property Tax,State Property PILOT,18427.33
New Fairfield,Property Tax,Veterans' Exemption,16519.37
New Fairfield,Property Tax,Disability Exemption,1473.12
New Fairfield,Property Tax,Pequot Grants,22907.65
New Fairfield,Property Tax,Grants For Municipal Projects,1081
New Fairfield,Capital Projects/Transportation,LoCIP,80813
New Fairfield,Capital Projects/Transportation,Town Aid Road,276120.63
New Fairfield,Capital Projects/Transportation,Urban Action Grants,0
Naugatuck,Education,Child Nutrition State Match,21643
Naugatuck,Education,School Construction,12971906
Naugatuck,Education,School Breakfast,30065
Naugatuck,Education,Magnet Schools,140400
Naugatuck,Education,Excess Cost- Student Based,721972
Naugatuck,Education,Education Cost Sharing,30063769
Naugatuck,Education,Public School Transportation,308072
Naugatuck,Education,Nonpublic School Transportation,49365
Naugatuck,Education,Youth Service Bureaus,34283
Naugatuck,Education,Adult Education,216887
Naugatuck,Education,Child Care Services,179439
Naugatuck,Property Tax,Elderly Circuit Breaker,217138.59
Naugatuck,Property Tax,State Property PILOT,62990.12
Naugatuck,Property Tax,Veterans' Exemption,42772.04
Naugatuck,Property Tax,Disability Exemption,19390.09
Naugatuck,Property Tax,Pequot Grants,211745.65
Naugatuck,Property Tax,Grants For Municipal Projects,321327
Naugatuck,Capital Projects/Transportation,LoCIP,252368
Naugatuck,Capital Projects/Transportation,Town Aid Road,425230.23
Naugatuck,Capital Projects/Transportation,Distressed Municipalities,147840.7
Naugatuck,Capital Projects/Transportation,Urban Action Grants,0
Naugatuck,Public Health/Social Services,Nonpublic Health Services/ Health and Welfare Services for Private School Pupils,9470
Naugatuck,Public Health/Social Services,Community Services,1133
Montville,Education,Child Nutrition State Match,11067
Montville,Education,School Construction,50680
Montville,Education,School Breakfast,16114
Montville,Education,After School Program,25000
Montville,Education,Magnet Schools,89700
Montville,Education,Excess Cost- Student Based,109201
Montville,Education,Education Cost Sharing,12768535
Montville,Education,Public School Transportation,236736
Montville,Education,Nonpublic School Transportation,11488
Montville,Education,Youth Service Bureaus,24508
Montville,Education,Adult Education,32445
Montville,Public Health/Social Services,Healthy Foods Initiative,22652
Montville,Public Health/Social Services,Nonpublic Health Services/ Health and Welfare Services for Private School Pupils,24606
Montville,Property Tax,Elderly Circuit Breaker,105632.23
Montville,Property Tax,State Property PILOT,1489649.63
Montville,Property Tax,Veterans' Exemption,9169.45
Montville,Property Tax,Disability Exemption,3430.9
Montville,Property Tax,Pequot Grants,1486050.71
Montville,Property Tax,Grants For Municipal Projects,497189
Montville,Capital Projects/Transportation,LoCIP,144672
Montville,Capital Projects/Transportation,Town Aid Road,326633.2
Montville,Capital Projects/Transportation,Urban Action Grants,0
Montville,Capital Projects/Transportation,Bus Operations,75150
Monroe,Education,Child Nutrition State Match,11408
Monroe,Education,School Construction,467699.26
Monroe,Education,Magnet Schools,15600
Monroe,Education,Excess Cost- Student Based,604022
Monroe,Education,Education Cost Sharing,6594051
Monroe,Education,Public School Transportation,59055
Monroe,Education,Nonpublic School Transportation,6167
Monroe,Education,Adult Education,14137
Monroe,Public Health/Social Services,Healthy Foods Initiative,23350
Monroe,Public Health/Social Services,Nonpublic Health Services/ Health and Welfare Services for Private School Pupils,5769
Monroe,Property Tax,Elderly Circuit Breaker,171203.9
Monroe,Property Tax,State Property PILOT,10691.66
Monroe,Property Tax,Veterans' Exemption,11004.4
Monroe,Property Tax,Disability Exemption,2331.01
Monroe,Property Tax,Pequot Grants,32426.26
Monroe,Property Tax,Grants For Municipal Projects,168449
Monroe,Capital Projects/Transportation,LoCIP,136429
Monroe,Capital Projects/Transportation,Town Aid Road,351092.74
Monroe,Capital Projects/Transportation,Urban Action Grants,0
Monroe,Capital Projects/Transportation,Bus Operations,19757
Marlborough,Education,Child Nutrition State Match,1907
Marlborough,Education,Education Cost Sharing,3188469
Marlborough,Education,Public School Transportation,22694
Marlborough,Public Health/Social Services,Healthy Foods Initiative,3902
Marlborough,Capital Projects/Transportation,Small Town Economic Assistance Program (STEAP),500000
Marlborough,Capital Projects/Transportation,LoCIP,51514
Marlborough,Capital Projects/Transportation,Town Aid Road,212336.26
Marlborough,Capital Projects/Transportation,Bus Operations,16183
Marlborough,Property Tax,Elderly Circuit Breaker,21477.98
Marlborough,Property Tax,State Property PILOT,16015.6
Marlborough,Property Tax,Veterans' Exemption,914.48
Marlborough,Property Tax,Disability Exemption,569.13
Marlborough,Property Tax,Pequot Grants,16616.99
Marlborough,Property Tax,Grants For Municipal Projects,6878
Mansfield,Education,Child Nutrition State Match,9059
Mansfield,Education,School Construction,601134
Mansfield,Education,School Breakfast,15579
Mansfield,Education,Excess Cost- Student Based,149819
Mansfield,Education,Education Cost Sharing,10158428
Mansfield,Education,Public School Transportation,124540
Mansfield,Education,Youth Service Bureaus,21322
Mansfield,Education,Child Care Services,178679.7
Mansfield,Public Health/Social Services,Healthy Foods Initiative,17170
Mansfield,Public Health/Social Services,Nonpublic Health Services/ Health and Welfare Services for Private School Pupils,11440
Mansfield,Public Health/Social Services,Community Services,439
Mansfield,Property Tax,Elderly Circuit Breaker,43610.43
Mansfield,Property Tax,State Property PILOT,6784862.39
Mansfield,Property Tax,Veterans' Exemption,6607.43
Mansfield,Property Tax,Disability Exemption,1329.79
Mansfield,Property Tax,Pequot Grants,205984.73
Mansfield,Property Tax,Elderly Freeze,2000
Mansfield,Property Tax,DECD PILOT Grant,10149
Mansfield,Property Tax,Grants For Municipal Projects,6434
Mansfield,Property Tax,Municipal Aid Adjustment,625545.29
Mansfield,Capital Projects/Transportation,LoCIP,192489
Mansfield,Capital Projects/Transportation,Town Aid Road,423034.22
Mansfield,Capital Projects/Transportation,Urban Action Grants,0
Mansfield,Capital Projects/Transportation,Bus Operations,24262.5
Manchester,Education,Child Nutrition State Match,39078
Manchester,Education,School Construction,107282.66
Manchester,Education,School Breakfast,39126
Manchester,Education,Magnet Schools,102000
Manchester,Education,Bilingual Education,8101
Manchester,Education,Excess Cost- Student Based,1311671
Manchester,Education,Education Cost Sharing,33236591
Manchester,Education,Public School Transportation,283543
Manchester,Education,Nonpublic School Transportation,112770
Manchester,Education,Youth Service Bureaus,45451
Manchester,Education,Adult Education,539713
Manchester,Education,Child Care Services,222835.08
Manchester,Public Health/Social Services,Healthy Foods Initiative,75000
Manchester,Public Health/Social Services,Nonpublic Health Services/ Health and Welfare Services for Private School Pupils,182852
Manchester,Public Health/Social Services,Local and District Departments of Health,68778.66
Manchester,Public Health/Social Services,Community Services,5455
Manchester,Property Tax,Colleges &amp; Hospitals PILOT,802712.54
Manchester,Property Tax,Elderly Circuit Breaker,294334.21
Manchester,Property Tax,State Property PILOT,751664.16
Manchester,Property Tax,Veterans' Exemption,74765.01
Manchester,Property Tax,Disability Exemption,7750.72
Manchester,Property Tax,Pequot Grants,594716.14
Manchester,Property Tax,Elderly Freeze,2000
Manchester,Property Tax,Grants For Municipal Projects,1072990.73
Manchester,Capital Projects/Transportation,LoCIP,424979
Manchester,Capital Projects/Transportation,Town Aid Road,647712.69
Manchester,Capital Projects/Transportation,Urban Action Grants,750000
Manchester,Capital Projects/Transportation,Bus Operations,51863
Madison,Education,Child Nutrition State Match,7758
Madison,Education,School Construction,70954.76
Madison,Education,Excess Cost- Student Based,1053661
Madison,Education,Education Cost Sharing,1581349
Madison,Education,Public School Transportation,18177
Madison,Education,Nonpublic School Transportation,4452
Madison,Education,Youth Service Bureaus,34935
Madison,Education,Adult Education,7547
Madison,Property Tax,Elderly Circuit Breaker,101727.88
Madison,Property Tax,State Property PILOT,487447.19
Madison,Property Tax,Veterans' Exemption,23393.36
Madison,Property Tax,Disability Exemption,574.88
Madison,Property Tax,Pequot Grants,18247.41
Madison,Property Tax,Grants For Municipal Projects,6391
Madison,Capital Projects/Transportation,LoCIP,110572
Madison,Capital Projects/Transportation,Town Aid Road,313666.27
Madison,Capital Projects/Transportation,Urban Action Grants,0
Madison,Capital Projects/Transportation,Bus Operations,25947
Madison,Public Health/Social Services,Nonpublic Health Services/ Health and Welfare Services for Private School Pupils,10975
Madison,Public Health/Social Services,School-Based Health Centers,61152
Litchfield,Education,Child Nutrition State Match,2683
Litchfield,Education,School Breakfast,6079
Litchfield,Education,Magnet Schools,6000
Litchfield,Education,Excess Cost- Student Based,169039
Litchfield,Education,Education Cost Sharing,1513543
Litchfield,Education,Public School Transportation,25549
Litchfield,Education,Nonpublic School Transportation,158
Litchfield,Education,Adult Education,1392
Litchfield,Public Health/Social Services,Healthy Foods Initiative,5492
Litchfield,Property Tax,Elderly Circuit Breaker,55407.83
Litchfield,Property Tax,State Property PILOT,73076.51
Litchfield,Property Tax,Veterans' Exemption,3627.76
Litchfield,Property Tax,Disability Exemption,438.07
Litchfield,Property Tax,Pequot Grants,20482.95
Litchfield,Property Tax,Grants For Municipal Projects,3228
Litchfield,Property Tax,Municipal Aid Adjustment,808.56
Litchfield,Capital Projects/Transportation,LoCIP,83507
Litchfield,Capital Projects/Transportation,Town Aid Road,382097.46
Litchfield,Capital Projects/Transportation,Urban Action Grants,0
Lisbon,Education,Child Nutrition State Match,2074
Lisbon,Education,School Breakfast,3101
Lisbon,Education,Magnet Schools,16900
Lisbon,Education,Excess Cost- Student Based,67395
Lisbon,Education,Education Cost Sharing,3934014
Lisbon,Education,Public School Transportation,54390
Lisbon,Education,Adult Education,11178
Lisbon,Public Health/Social Services,Healthy Foods Initiative,4246
Lisbon,Property Tax,Elderly Circuit Breaker,22032.23
Lisbon,Property Tax,State Property PILOT,7117.61
Lisbon,Property Tax,Veterans' Exemption,2804.68
Lisbon,Property Tax,Disability Exemption,546.97
Lisbon,Property Tax,Pequot Grants,28967.34
Lisbon,Property Tax,Grants For Municipal Projects,3464
Lisbon,Capital Projects/Transportation,LoCIP,29421
Lisbon,Capital Projects/Transportation,Town Aid Road,176315.33
Ledyard,Education,Child Nutrition State Match,6110
Ledyard,Education,School Construction,347969.49
Ledyard,Education,School Breakfast,18068
Ledyard,Education,Magnet Schools,88400
Ledyard,Education,Excess Cost- Student Based,1076749
Ledyard,Education,Education Cost Sharing,12136381
Ledyard,Education,Public School Transportation,154107
Ledyard,Education,Youth Service Bureaus,23482
Ledyard,Education,Adult Education,21331
Ledyard,Education,Vocational Agriculture,709151
Ledyard,Public Health/Social Services,Healthy Foods Initiative,12506
Ledyard,Capital Projects/Transportation,Small Town Economic Assistance Program (STEAP),500000
Ledyard,Capital Projects/Transportation,LoCIP,111762
