"Town","FIPS","Indicator","Measure Type","Variable","2005","2006","2007","2008","2009","2010","2011","2012"
"Naugatuck","0900949950","Referrals","Number","Birth to Three Indicators",59,73,61,61,56,64,52,61
"Naugatuck","0900949950","Referrals","Percent","Birth to Three Indicators",15.09,18.48,15.21,17.73,15.34,18.18,13.68,16.99
"Naugatuck","0900949950","Referred that are Evaluated","Percent","Birth to Three Indicators",89.83,95.89,96.72,95.08,91.07,95.31,96.15,98.36
"Naugatuck","0900949950","Total Eligible","Number","Birth to Three Indicators",30,46,34,39,31,42,31,42
"Naugatuck","0900949950","Total Eligible","Percent","Birth to Three Indicators",7.67,11.65,8.48,11.34,8.49,11.93,8.16,11.7
"Naugatuck","0900949950","Total Served","Number","Birth to Three Indicators",27,46,33,38,31,39,29,39
"Naugatuck","0900949950","Total Served","Percent","Birth to Three Indicators",6.91,11.65,8.23,11.05,8.49,11.08,7.63,10.86
"New Britain","0900350440","Eligible that Exit to ECSE","Percent","Birth to Three Indicators",51.54,51.01,56.35,47.16,56.55,45.75,47.59,54.72
"New Britain","0900350440","Eligible that Recieve IFSP","Percent","Birth to Three Indicators",94.62,92.62,98.41,95.45,96.55,96.08,94.65,93.08
"New Britain","0900350440","Evaluated that are Eligible","Percent","Birth to Three Indicators",67.71,65.07,64.95,76.52,68.72,68,77.92,70.67
"New Britain","0900350440","Evaluations","Number","Birth to Three Indicators",192,229,194,230,211,225,240,225
"New Britain","0900350440","Evaluations","Percent","Birth to Three Indicators",18.18,21.05,16.55,21.26,20.08,20.42,24.17,21.55
"New Britain","0900350440","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",67,76,71,83,82,70,89,87
"New Britain","0900350440","Exited to Early Childhood Special Education","Percent","Birth to Three Indicators",6.34,6.99,6.06,7.67,7.8,6.35,8.96,8.33
"New Britain","0900350440","IFSP Receiving Services","Percent","Birth to Three Indicators",99.19,94.93,92.74,97.02,97.86,91.16,99.44,97.97
"New Britain","0900350440","Individualized Family Service Plans","Number","Birth to Three Indicators",123,138,124,168,140,147,177,148
"New Britain","0900350440","Individualized Family Service Plans","Percent","Birth to Three Indicators",11.65,12.68,10.58,15.53,13.32,13.34,17.82,14.18
"New Britain","0900350440","Referrals","Number","Birth to Three Indicators",214,247,212,247,231,246,253,238
"New Britain","0900350440","Referrals","Percent","Birth to Three Indicators",20.27,22.7,18.09,22.83,21.98,22.32,25.48,22.8
"New Britain","0900350440","Referred that are Evaluated","Percent","Birth to Three Indicators",89.72,92.71,91.51,93.12,91.34,91.46,94.86,94.54
"New Britain","0900350440","Total Eligible","Number","Birth to Three Indicators",130,149,126,176,145,153,187,159
"New Britain","0900350440","Total Eligible","Percent","Birth to Three Indicators",12.31,13.69,10.75,16.27,13.8,13.88,18.83,15.23
"New Britain","0900350440","Total Served","Number","Birth to Three Indicators",122,131,115,163,137,134,176,145
"New Britain","0900350440","Total Served","Percent","Birth to Three Indicators",11.55,12.04,9.81,15.06,13.04,12.16,17.72,13.89
"New Canaan","0900150580","Eligible that Recieve IFSP","Percent","Birth to Three Indicators",100,100,100,100,100,100,100,94.12
"New Canaan","0900150580","Evaluated that are Eligible","Percent","Birth to Three Indicators",53.33,51.52,40,64.52,41.38,45.24,48.72,56.67
"New Canaan","0900150580","Evaluations","Number","Birth to Three Indicators",30,33,25,31,29,42,39,30
"New Canaan","0900150580","Evaluations","Percent","Birth to Three Indicators",14.22,17.37,14.79,19.5,21.01,29.58,22.41,21.13
"New Canaan","0900150580","IFSP Receiving Services","Percent","Birth to Three Indicators",93.75,100,90,95,100,100,94.74,93.75
"New Canaan","0900150580","Individualized Family Service Plans","Number","Birth to Three Indicators",16,17,10,20,12,19,19,16
"New Canaan","0900150580","Individualized Family Service Plans","Percent","Birth to Three Indicators",7.58,8.95,5.92,12.58,8.7,13.38,10.92,11.27
"New Canaan","0900150580","Referrals","Number","Birth to Three Indicators",33,37,27,32,31,45,41,32
"New Canaan","0900150580","Referrals","Percent","Birth to Three Indicators",15.64,19.47,15.98,20.13,22.46,31.69,23.56,22.54
"New Canaan","0900150580","Referred that are Evaluated","Percent","Birth to Three Indicators",90.91,89.19,92.59,96.88,93.55,93.33,95.12,93.75
"New Canaan","0900150580","Total Eligible","Number","Birth to Three Indicators",16,17,10,20,12,19,19,17
"New Canaan","0900150580","Total Eligible","Percent","Birth to Three Indicators",7.58,8.95,5.92,12.58,8.7,13.38,10.92,11.97
"New Canaan","0900150580","Total Served","Number","Birth to Three Indicators",15,17,9,19,12,19,18,15
"New Canaan","0900150580","Total Served","Percent","Birth to Three Indicators",7.11,8.95,5.33,11.95,8.7,13.38,10.34,10.56
"New Fairfield","0900150860","Eligible that Exit to ECSE","Percent","Birth to Three Indicators",46.88,50,51.85,66.67,52.63,52.38,58.33,61.54
"New Fairfield","0900150860","Eligible that Recieve IFSP","Percent","Birth to Three Indicators",96.88,100,100,100,100,95.24,100,92.31
"New Fairfield","0900150860","Evaluated that are Eligible","Percent","Birth to Three Indicators",86.49,74.07,79.41,81.82,82.61,77.78,54.55,68.42
"New Fairfield","0900150860","Evaluations","Number","Birth to Three Indicators",37,27,34,22,23,27,22,19
"New Fairfield","0900150860","Evaluations","Percent","Birth to Three Indicators",29.13,21.09,26.98,17.32,27.06,23.08,21.57,19
"New Fairfield","0900150860","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",15,10,14,12,10,11,7,8
"New Fairfield","0900150860","Exited to Early Childhood Special Education","Percent","Birth to Three Indicators",11.81,7.81,11.11,9.45,11.76,9.4,6.86,8
"New Fairfield","0900150860","IFSP Receiving Services","Percent","Birth to Three Indicators",100,100,100,100,100,100,91.67,100
"New Fairfield","0900150860","Individualized Family Service Plans","Number","Birth to Three Indicators",31,20,27,18,19,20,12,12
"New Fairfield","0900150860","Individualized Family Service Plans","Percent","Birth to Three Indicators",24.41,15.62,21.43,14.17,22.35,17.09,11.76,12
"New Fairfield","0900150860","Referrals","Number","Birth to Three Indicators",41,28,34,24,23,27,23,20
"New Fairfield","0900150860","Referrals","Percent","Birth to Three Indicators",32.28,21.88,26.98,18.9,27.06,23.08,22.55,20
"New Fairfield","0900150860","Referred that are Evaluated","Percent","Birth to Three Indicators",90.24,96.43,100,91.67,100,100,95.65,95
"New Fairfield","0900150860","Total Eligible","Number","Birth to Three Indicators",32,20,27,18,19,21,12,13
"New Fairfield","0900150860","Total Eligible","Percent","Birth to Three Indicators",25.2,15.62,21.43,14.17,22.35,17.95,11.76,13
"New Fairfield","0900150860","Total Served","Number","Birth to Three Indicators",31,20,27,18,19,20,11,12
"New Fairfield","0900150860","Total Served","Percent","Birth to Three Indicators",24.41,15.62,21.43,14.17,22.35,17.09,10.78,12
"New Haven","0900952070","Eligible that Exit to ECSE","Percent","Birth to Three Indicators",42.2,40.91,37.56,28.72,31.98,29.87,36.92,32.43
"New Haven","0900952070","Eligible that Recieve IFSP","Percent","Birth to Three Indicators",94.22,94.95,93.91,94.68,97.3,93.51,92.52,93.82
"New Haven","0900952070","Evaluated that are Eligible","Percent","Birth to Three Indicators",57.28,57.89,60.43,56.97,62.89,68.55,63.69,74
"New Haven","0900952070","Evaluations","Number","Birth to Three Indicators",302,342,326,330,353,337,336,350
"New Haven","0900952070","Evaluations","Percent","Birth to Three Indicators",14.48,16.09,15.16,15.51,17.19,16.84,17.43,18.35
"New Haven","0900952070","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",73,81,74,54,71,69,79,84
"New Haven","0900952070","Exited to Early Childhood Special Education","Percent","Birth to Three Indicators",3.5,3.81,3.44,2.54,3.46,3.45,4.1,4.4
"New Haven","0900952070","IFSP Receiving Services","Percent","Birth to Three Indicators",93.25,96.28,91.35,93.82,98.15,98.15,98.48,96.71
"New Haven","0900952070","Individualized Family Service Plans","Number","Birth to Three Indicators",163,188,185,178,216,216,198,243
"New Haven","0900952070","Individualized Family Service Plans","Percent","Birth to Three Indicators",7.81,8.85,8.6,8.36,10.52,10.79,10.27,12.74
"New Haven","0900952070","Referrals","Number","Birth to Three Indicators",342,381,360,365,378,369,362,380
"New Haven","0900952070","Referrals","Percent","Birth to Three Indicators",16.4,17.93,16.74,17.15,18.4,18.44,18.78,19.93
"New Haven","0900952070","Referred that are Evaluated","Percent","Birth to Three Indicators",88.3,89.76,90.56,90.41,93.39,91.33,92.82,92.11
"New Haven","0900952070","Total Eligible","Number","Birth to Three Indicators",173,198,197,188,222,231,214,259
"New Haven","0900952070","Total Eligible","Percent","Birth to Three Indicators",8.29,9.32,9.16,8.83,10.81,11.54,11.1,13.58
"New Haven","0900952070","Total Served","Number","Birth to Three Indicators",152,181,169,167,212,212,195,235
"New Haven","0900952070","Total Served","Percent","Birth to Three Indicators",7.29,8.52,7.86,7.85,10.32,10.59,10.11,12.32
"New London","0901152350","Eligible that Exit to ECSE","Percent","Birth to Three Indicators",46.15,59.52,50,52.17,60.98,65.12,48.98,59.62
"New London","0901152350","Eligible that Recieve IFSP","Percent","Birth to Three Indicators",92.31,97.62,95.24,97.83,97.56,95.35,93.88,96.15
"New London","0901152350","Evaluated that are Eligible","Percent","Birth to Three Indicators",54.17,62.69,67.74,74.19,75.93,68.25,69.01,75.36
"New London","0901152350","Evaluations","Number","Birth to Three Indicators",48,67,62,62,54,63,71,69
"New London","0901152350","Evaluations","Percent","Birth to Three Indicators",12.97,18.16,15.16,16.15,14.84,18.48,18.49,20.41
"New London","0901152350","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",12,25,21,24,25,28,24,31
"New London","0901152350","Exited to Early Childhood Special Education","Percent","Birth to Three Indicators",3.24,6.78,5.13,6.25,6.87,8.21,6.25,9.17
"New London","0901152350","IFSP Receiving Services","Percent","Birth to Three Indicators",79.17,90.24,92.5,95.56,97.5,95.12,95.65,96
"New London","0901152350","Individualized Family Service Plans","Number","Birth to Three Indicators",24,41,40,45,40,41,46,50
"New London","0901152350","Individualized Family Service Plans","Percent","Birth to Three Indicators",6.49,11.11,9.78,11.72,10.99,12.02,11.98,14.79
"New London","0901152350","Referrals","Number","Birth to Three Indicators",54,71,64,65,56,69,78,74
"New London","0901152350","Referrals","Percent","Birth to Three Indicators",14.59,19.24,15.65,16.93,15.38,20.23,20.31,21.89
"New London","0901152350","Referred that are Evaluated","Percent","Birth to Three Indicators",88.89,94.37,96.88,95.38,96.43,91.3,91.03,93.24
"New London","0901152350","Total Eligible","Number","Birth to Three Indicators",26,42,42,46,41,43,49,52
"New London","0901152350","Total Eligible","Percent","Birth to Three Indicators",7.03,11.38,10.27,11.98,11.26,12.61,12.76,15.38
"New London","0901152350","Total Served","Number","Birth to Three Indicators",19,37,37,43,39,39,44,48
"New London","0901152350","Total Served","Percent","Birth to Three Indicators",5.14,10.03,9.05,11.2,10.71,11.44,11.46,14.2
"New Milford","0900552630","Eligible that Exit to ECSE","Percent","Birth to Three Indicators",37.84,37.5,32.35,36.11,26.83,42.42,20.59,43.59
"New Milford","0900552630","Eligible that Recieve IFSP","Percent","Birth to Three Indicators",94.59,96.88,94.12,88.89,92.68,96.97,100,94.87
"New Milford","0900552630","Evaluated that are Eligible","Percent","Birth to Three Indicators",62.71,74.42,62.96,67.92,73.21,76.74,64.15,72.22
"New Milford","0900552630","Evaluations","Number","Birth to Three Indicators",59,43,54,53,56,43,53,54
"New Milford","0900552630","Evaluations","Percent","Birth to Three Indicators",16.76,13.23,17.82,17.04,20.14,18.07,19.49,22.5
"New Milford","0900552630","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",14,12,11,13,11,14,7,17
"New Milford","0900552630","Exited to Early Childhood Special Education","Percent","Birth to Three Indicators",3.98,3.69,3.63,4.18,3.96,5.88,2.57,7.08
"New Milford","0900552630","IFSP Receiving Services","Percent","Birth to Three Indicators",100,100,96.88,100,97.37,100,100,100
"New Milford","0900552630","Individualized Family Service Plans","Number","Birth to Three Indicators",35,31,32,32,38,32,34,37
"New Milford","0900552630","Individualized Family Service Plans","Percent","Birth to Three Indicators",9.94,9.54,10.56,10.29,13.67,13.45,12.5,15.42
"New Milford","0900552630","Referrals","Number","Birth to Three Indicators",66,48,58,55,58,47,54,55
"New Milford","0900552630","Referrals","Percent","Birth to Three Indicators",18.75,14.77,19.14,17.68,20.86,19.75,19.85,22.92
"New Milford","0900552630","Referred that are Evaluated","Percent","Birth to Three Indicators",89.39,89.58,93.1,96.36,96.55,91.49,98.15,98.18
"New Milford","0900552630","Total Eligible","Number","Birth to Three Indicators",37,32,34,36,41,33,34,39
"New Milford","0900552630","Total Eligible","Percent","Birth to Three Indicators",10.51,9.85,11.22,11.58,14.75,13.87,12.5,16.25
"New Milford","0900552630","Total Served","Number","Birth to Three Indicators",35,31,31,32,37,32,34,37
"New Milford","0900552630","Total Served","Percent","Birth to Three Indicators",9.94,9.54,10.23,10.29,13.31,13.45,12.5,15.42
"Newington","0900352140","Eligible that Exit to ECSE","Percent","Birth to Three Indicators",63.89,34.62,43.75,46.43,62.5,44.44,51.43,56
"Newington","0900352140","Eligible that Recieve IFSP","Percent","Birth to Three Indicators",97.22,96.15,96.88,100,93.75,88.89,94.29,92
"Newington","0900352140","Evaluated that are Eligible","Percent","Birth to Three Indicators",67.92,61.9,69.57,63.64,61.54,55.1,76.09,69.44
"Newington","0900352140","Evaluations","Number","Birth to Three Indicators",53,42,46,44,52,49,46,36
"Newington","0900352140","Evaluations","Percent","Birth to Three Indicators",18.47,15.27,14.94,16.67,20.97,19.68,15.7,14.4
"Newington","0900352140","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",23,9,14,13,20,12,18,14
"Newington","0900352140","Exited to Early Childhood Special Education","Percent","Birth to Three Indicators",8.01,3.27,4.55,4.92,8.06,4.82,6.14,5.6
"Newington","0900352140","IFSP Receiving Services","Percent","Birth to Three Indicators",100,100,100,96.43,100,100,93.94,100
"Newington","0900352140","Individualized Family Service Plans","Number","Birth to Three Indicators",35,25,31,28,30,24,33,23
"Newington","0900352140","Individualized Family Service Plans","Percent","Birth to Three Indicators",12.2,9.09,10.06,10.61,12.1,9.64,11.26,9.2
"Newington","0900352140","Referrals","Number","Birth to Three Indicators",60,43,49,45,53,50,49,37
"Newington","0900352140","Referrals","Percent","Birth to Three Indicators",20.91,15.64,15.91,17.05,21.37,20.08,16.72,14.8
"Newington","0900352140","Referred that are Evaluated","Percent","Birth to Three Indicators",88.33,97.67,93.88,97.78,98.11,98,93.88,97.3
"Newington","0900352140","Total Eligible","Number","Birth to Three Indicators",36,26,32,28,32,27,35,25
"Newington","0900352140","Total Eligible","Percent","Birth to Three Indicators",12.54,9.45,10.39,10.61,12.9,10.84,11.95,10
"Newington","0900352140","Total Served","Number","Birth to Three Indicators",35,25,31,27,30,24,31,23
"Newington","0900352140","Total Served","Percent","Birth to Three Indicators",12.2,9.09,10.06,10.23,12.1,9.64,10.58,9.2
"Newtown","0900152980","Eligible that Recieve IFSP","Percent","Birth to Three Indicators",96.77,96.97,92.86,100,96.97,90.48,93.75,91.67
"Newtown","0900152980","Evaluated that are Eligible","Percent","Birth to Three Indicators",60.78,54.1,73.68,66.67,70.21,63.64,50,63.16
"Newtown","0900152980","Evaluations","Number","Birth to Three Indicators",51,61,57,36,47,33,32,38
"Newtown","0900152980","Evaluations","Percent","Birth to Three Indicators",18.48,25.63,23.75,17.73,24.48,16.5,18.71,22.49
"Newtown","0900152980","IFSP Receiving Services","Percent","Birth to Three Indicators",93.33,100,97.44,91.67,100,100,93.33,100
"Newtown","0900152980","Individualized Family Service Plans","Number","Birth to Three Indicators",30,32,39,24,32,19,15,22
"Newtown","0900152980","Individualized Family Service Plans","Percent","Birth to Three Indicators",10.87,13.45,16.25,11.82,16.67,9.5,8.77,13.02
"Newtown","0900152980","Referrals","Number","Birth to Three Indicators",53,66,57,39,50,33,33,38
"Newtown","0900152980","Referrals","Percent","Birth to Three Indicators",19.2,27.73,23.75,19.21,26.04,16.5,19.3,22.49
"Newtown","0900152980","Referred that are Evaluated","Percent","Birth to Three Indicators",96.23,92.42,100,92.31,94,100,96.97,100
"Newtown","0900152980","Total Eligible","Number","Birth to Three Indicators",31,33,42,24,33,21,16,24
"Newtown","0900152980","Total Eligible","Percent","Birth to Three Indicators",11.23,13.87,17.5,11.82,17.19,10.5,9.36,14.2
"Newtown","0900152980","Total Served","Number","Birth to Three Indicators",28,32,38,22,32,19,14,22
"Newtown","0900152980","Total Served","Percent","Birth to Three Indicators",10.14,13.45,15.83,10.84,16.67,9.5,8.19,13.02
"North Branford","0900953890","Evaluations","Number","Birth to Three Indicators",21,27,17,34,25,21,12,22
"North Branford","0900953890","Evaluations","Percent","Birth to Three Indicators",16.28,19.42,16.19,26.77,22.52,20.19,11.76,21.78
"North Branford","0900953890","Referrals","Number","Birth to Three Indicators",21,28,18,37,26,21,14,22
"North Branford","0900953890","Referrals","Percent","Birth to Three Indicators",16.28,20.14,17.14,29.13,23.42,20.19,13.73,21.78
"North Branford","0900953890","Referred that are Evaluated","Percent","Birth to Three Indicators",100,96.43,94.44,91.89,96.15,100,85.71,100
"North Haven","0900954870","Eligible that Recieve IFSP","Percent","Birth to Three Indicators",100,93.33,92.31,100,84.21,78.57,95.83,100
"North Haven","0900954870","Evaluated that are Eligible","Percent","Birth to Three Indicators",70.27,42.86,74.29,55.17,67.86,51.85,57.14,55.17
"North Haven","0900954870","Evaluations","Number","Birth to Three Indicators",37,35,35,29,28,27,42,29
"North Haven","0900954870","Evaluations","Percent","Birth to Three Indicators",18.88,17.5,18.42,15.51,16.57,16.88,22.34,16.02
"North Haven","0900954870","IFSP Receiving Services","Percent","Birth to Three Indicators",96.15,100,95.83,93.75,100,100,95.65,93.75
"North Haven","0900954870","Individualized Family Service Plans","Number","Birth to Three Indicators",26,14,24,16,16,11,23,16
"North Haven","0900954870","Individualized Family Service Plans","Percent","Birth to Three Indicators",13.27,7,12.63,8.56,9.47,6.88,12.23,8.84
"North Haven","0900954870","Referrals","Number","Birth to Three Indicators",40,38,36,30,29,28,43,30
"North Haven","0900954870","Referrals","Percent","Birth to Three Indicators",20.41,19,18.95,16.04,17.16,17.5,22.87,16.57
"North Haven","0900954870","Referred that are Evaluated","Percent","Birth to Three Indicators",92.5,92.11,97.22,96.67,96.55,96.43,97.67,96.67
"North Haven","0900954870","Total Eligible","Number","Birth to Three Indicators",26,15,26,16,19,14,24,16
"North Haven","0900954870","Total Eligible","Percent","Birth to Three Indicators",13.27,7.5,13.68,8.56,11.24,8.75,12.77,8.84
"North Haven","0900954870","Total Served","Number","Birth to Three Indicators",25,14,23,15,16,11,22,15
"North Haven","0900954870","Total Served","Percent","Birth to Three Indicators",12.76,7,12.11,8.02,9.47,6.88,11.7,8.29
"Norwalk","0900156060","Eligible that Exit to ECSE","Percent","Birth to Three Indicators",37.63,52.21,47.69,37.84,50.39,52.54,42.06,45.52
"Norwalk","0900156060","Eligible that Recieve IFSP","Percent","Birth to Three Indicators",96.77,95.58,97.69,93.69,95.28,96.61,94.44,97.76
"Norwalk","0900156060","Evaluated that are Eligible","Percent","Birth to Three Indicators",51.1,54.07,58.3,54.15,58.53,57,58.88,67
"Norwalk","0900156060","Evaluations","Number","Birth to Three Indicators",182,209,223,205,217,207,214,200
"Norwalk","0900156060","Evaluations","Percent","Birth to Three Indicators",13.77,15.91,17.53,16.27,16.98,17.28,17.86,16.99
"Norwalk","0900156060","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",35,59,62,42,64,62,53,61
"Norwalk","0900156060","Exited to Early Childhood Special Education","Percent","Birth to Three Indicators",2.65,4.49,4.87,3.33,5.01,5.18,4.42,5.18
"Norwalk","0900156060","IFSP Receiving Services","Percent","Birth to Three Indicators",97.78,98.15,93.7,97.12,95.04,97.37,95.8,96.18
"Norwalk","0900156060","Individualized Family Service Plans","Number","Birth to Three Indicators",90,108,127,104,121,114,119,131
"Norwalk","0900156060","Individualized Family Service Plans","Percent","Birth to Three Indicators",6.81,8.22,9.98,8.25,9.47,9.52,9.93,11.13
"Norwalk","0900156060","Referrals","Number","Birth to Three Indicators",203,233,234,218,240,214,232,210
"Norwalk","0900156060","Referrals","Percent","Birth to Three Indicators",15.36,17.73,18.4,17.3,18.78,17.86,19.37,17.84
"Norwalk","0900156060","Referred that are Evaluated","Percent","Birth to Three Indicators",89.66,89.7,95.3,94.04,90.42,96.73,92.24,95.24
"Norwalk","0900156060","Total Eligible","Number","Birth to Three Indicators",93,113,130,111,127,118,126,134
"Norwalk","0900156060","Total Eligible","Percent","Birth to Three Indicators",7.03,8.6,10.22,8.81,9.94,9.85,10.52,11.38
"Norwalk","0900156060","Total Served","Number","Birth to Three Indicators",88,106,119,101,115,111,114,126
"Norwalk","0900156060","Total Served","Percent","Birth to Three Indicators",6.66,8.07,9.36,8.02,9,9.27,9.52,10.71
"Norwich","0901156270","Eligible that Exit to ECSE","Percent","Birth to Three Indicators",54,58.06,48.98,45.31,50.94,45.45,54.41,55.56
"Norwich","0901156270","Eligible that Recieve IFSP","Percent","Birth to Three Indicators",92,100,89.8,96.88,94.34,89.39,97.06,93.83
"Norwich","0901156270","Evaluated that are Eligible","Percent","Birth to Three Indicators",64.1,60.78,59.76,71.11,70.67,79.52,80,71.05
"Norwich","0901156270","Evaluations","Number","Birth to Three Indicators",78,102,82,90,75,83,85,114
"Norwich","0901156270","Evaluations","Percent","Birth to Three Indicators",16.05,18.18,15.38,16.13,13.64,17.08,15.74,21.76
"Norwich","0901156270","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",27,36,24,29,27,30,37,45
"Norwich","0901156270","Exited to Early Childhood Special Education","Percent","Birth to Three Indicators",5.56,6.42,4.5,5.2,4.91,6.17,6.85,8.59
"Norwich","0901156270","IFSP Receiving Services","Percent","Birth to Three Indicators",95.65,91.94,95.45,96.77,94,98.31,95.45,97.37
"Norwich","0901156270","Individualized Family Service Plans","Number","Birth to Three Indicators",46,62,44,62,50,59,66,76
"Norwich","0901156270","Individualized Family Service Plans","Percent","Birth to Three Indicators",9.47,11.05,8.26,11.11,9.09,12.14,12.22,14.5
"Norwich","0901156270","Referrals","Number","Birth to Three Indicators",86,108,90,99,82,88,99,120
"Norwich","0901156270","Referrals","Percent","Birth to Three Indicators",17.7,19.25,16.89,17.74,14.91,18.11,18.33,22.9
"Norwich","0901156270","Referred that are Evaluated","Percent","Birth to Three Indicators",90.7,94.44,91.11,90.91,91.46,94.32,85.86,95
"Norwich","0901156270","Total Eligible","Number","Birth to Three Indicators",50,62,49,64,53,66,68,81
"Norwich","0901156270","Total Eligible","Percent","Birth to Three Indicators",10.29,11.05,9.19,11.47,9.64,13.58,12.59,15.46
"Norwich","0901156270","Total Served","Number","Birth to Three Indicators",44,57,42,60,47,58,63,74
"Norwich","0901156270","Total Served","Percent","Birth to Three Indicators",9.05,10.16,7.88,10.75,8.55,11.93,11.67,14.12
"Old Saybrook","0900757320","Evaluations","Number","Birth to Three Indicators",8,9,9,14,11,14,9,12
"Old Saybrook","0900757320","Evaluations","Percent","Birth to Three Indicators",10.96,11.84,13.24,20,13.75,21.88,14.29,20.34
"Old Saybrook","0900757320","Referrals","Number","Birth to Three Indicators",8,10,12,14,11,14,9,12
"Old Saybrook","0900757320","Referrals","Percent","Birth to Three Indicators",10.96,13.16,17.65,20,13.75,21.88,14.29,20.34
"Old Saybrook","0900757320","Referred that are Evaluated","Percent","Birth to Three Indicators",100,90,75,100,100,100,100,100
"Orange","0900957600","Referrals","Number","Birth to Three Indicators",15,15,19,11,16,15,14,7
"Orange","0900957600","Referrals","Percent","Birth to Three Indicators",15.79,13.64,17.27,13.41,17.2,18.52,14.29,7.37
"Oxford","0900958300","Evaluations","Number","Birth to Three Indicators",28,24,24,23,21,8,20,16
"Oxford","0900958300","Evaluations","Percent","Birth to Three Indicators",20.74,18.32,16.55,19.83,20.39,7.69,19.61,17.98
"Oxford","0900958300","Referrals","Number","Birth to Three Indicators",29,25,24,23,21,10,21,17
"Oxford","0900958300","Referrals","Percent","Birth to Three Indicators",21.48,19.08,16.55,19.83,20.39,9.62,20.59,19.1
"Oxford","0900958300","Referred that are Evaluated","Percent","Birth to Three Indicators",96.55,96,100,100,100,80,95.24,94.12
"Plainfield","0901559980","Eligible that Exit to ECSE","Percent","Birth to Three Indicators",66.67,57.14,66.67,68.75,50,57.89,36.84,42.42
"Plainfield","0901559980","Eligible that Recieve IFSP","Percent","Birth to Three Indicators",100,100,91.67,93.75,94.44,100,94.74,96.97
"Plainfield","0901559980","Evaluated that are Eligible","Percent","Birth to Three Indicators",55.56,60,31.58,59.26,54.55,63.33,73.08,78.57
"Plainfield","0901559980","Evaluations","Number","Birth to Three Indicators",27,35,38,27,33,30,26,42
"Plainfield","0901559980","Evaluations","Percent","Birth to Three Indicators",16.17,17.5,20.65,14.75,22.45,19.61,15.29,25.45
"Plainfield","0901559980","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",10,12,8,11,9,11,7,14
"Plainfield","0901559980","Exited to Early Childhood Special Education","Percent","Birth to Three Indicators",5.99,6,4.35,6.01,6.12,7.19,4.12,8.48
"Plainfield","0901559980","IFSP Receiving Services","Percent","Birth to Three Indicators",86.67,95.24,100,100,88.24,94.74,100,93.75
"Plainfield","0901559980","Individualized Family Service Plans","Number","Birth to Three Indicators",15,21,11,15,17,19,18,32
"Plainfield","0901559980","Individualized Family Service Plans","Percent","Birth to Three Indicators",8.98,10.5,5.98,8.2,11.56,12.42,10.59,19.39
"Plainfield","0901559980","Referrals","Number","Birth to Three Indicators",30,38,41,30,35,34,28,45
"Plainfield","0901559980","Referrals","Percent","Birth to Three Indicators",17.96,19,22.28,16.39,23.81,22.22,16.47,27.27
"Plainfield","0901559980","Referred that are Evaluated","Percent","Birth to Three Indicators",90,92.11,92.68,90,94.29,88.24,92.86,93.33
"Plainfield","0901559980","Total Eligible","Number","Birth to Three Indicators",15,21,12,16,18,19,19,33
"Plainfield","0901559980","Total Eligible","Percent","Birth to Three Indicators",8.98,10.5,6.52,8.74,12.24,12.42,11.18,20
"Plainfield","0901559980","Total Served","Number","Birth to Three Indicators",13,20,11,15,15,18,18,30
"Plainfield","0901559980","Total Served","Percent","Birth to Three Indicators",7.78,10,5.98,8.2,10.2,11.76,10.59,18.18
"Plainville","0900360120","Eligible that Exit to ECSE","Percent","Birth to Three Indicators",63.16,63.16,71.43,45.83,56.52,68.75,51.85,36.36
"Plainville","0900360120","Eligible that Recieve IFSP","Percent","Birth to Three Indicators",100,100,100,95.83,100,100,100,95.45
"Plainville","0900360120","Evaluated that are Eligible","Percent","Birth to Three Indicators",59.38,63.33,63.64,70.59,67.65,53.33,67.5,81.48
"Plainville","0900360120","Evaluations","Number","Birth to Three Indicators",32,30,22,34,34,30,40,27
"Plainville","0900360120","Evaluations","Percent","Birth to Three Indicators",20.38,16.85,14.29,18.58,19.54,19.87,21.05,16.46
"Plainville","0900360120","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",12,12,10,11,13,11,14,8
"Plainville","0900360120","Exited to Early Childhood Special Education","Percent","Birth to Three Indicators",7.64,6.74,6.49,6.01,7.47,7.28,7.37,4.88
"Plainville","0900360120","IFSP Receiving Services","Percent","Birth to Three Indicators",100,100,100,100,100,87.5,100,90.48
"Plainville","0900360120","Individualized Family Service Plans","Number","Birth to Three Indicators",19,19,14,23,23,16,27,21
"Plainville","0900360120","Individualized Family Service Plans","Percent","Birth to Three Indicators",12.1,10.67,9.09,12.57,13.22,10.6,14.21,12.8
"Plainville","0900360120","Referrals","Number","Birth to Three Indicators",34,32,24,40,37,33,42,28
"Plainville","0900360120","Referrals","Percent","Birth to Three Indicators",21.66,17.98,15.58,21.86,21.26,21.85,22.11,17.07
"Plainville","0900360120","Referred that are Evaluated","Percent","Birth to Three Indicators",94.12,93.75,91.67,85,91.89,90.91,95.24,96.43
